Soviet Union (URS),0,0,0,0,0,0,0,9,10,6,6,5,5,8,5,3,0,0,0,0,0,0
Spain (ESP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Sweden (SWE),7,2,2,2,2,1,0,0,2,0,0,1,2,3,2,4,0,3,2,2,2,1
Switzerland (SUI),3,0,4,2,2,4,0,5,2,1,3,3,2,0,0,2,0,4,2,1,0,0
Ukraine (UKR),0,0,0,0,1,0,,,,,,,,,,,,,,,,
Unified Team (EUN),0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States (USA),7,15,9,13,3,5,4,1,4,4,3,2,5,2,4,3,6,4,0,4,2,2
United Team of Germany (EUA),0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
Uzbekistan (UZB),0,0,0,0,0,0,,,,,,,,,,,,,,,,
West Germany (FRG),0,0,0,0,0,0,0,4,1,2,5,1,2,0,0,0,0,0,0,0,0,0
Yugoslavia (YUG),0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
BRONZE,,,,,,,,,,,,,,,,,,,,,,
Australia (AUS),1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Austria (AUT),5,6,7,10,9,4,8,2,1,2,2,2,4,3,3,4,2,4,2,0,1,0
Belarus (BLR),1,1,0,1,2,0,,,,,,,,,,,,,,,,
Belgium (BEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bulgaria (BUL),0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,
Canada (CAN),5,5,7,7,0,4,2,3,1,1,1,0,1,1,1,2,1,1,0,5,0,0
China (CHN),2,4,5,4,4,2,0,0,0,0,,,,,,,,,,,,
Croatia (CRO),0,1,0,0,2,0,0,,,,,,,,,,,,,,,
Czech Republic (CZE),2,4,1,0,1,0,,,,,,,,,,,,,,,,
Czechoslovakia (TCH),0,0,0,0,0,0,3,2,4,1,0,2,1,1,0,0,0,0,0,0,1,0
Denmark (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
East Germany (GDR),0,0,0,0,0,0,0,6,6,7,7,7,2,0,0,0,0,0,0,0,0,0
Estonia (EST),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Finland (FIN),1,4,3,1,6,5,3,2,6,3,1,1,2,3,3,1,2,2,3,1,1,3
France (FRA),7,6,4,2,5,4,1,1,2,1,1,2,2,0,2,0,1,2,1,0,0,3
Germany (GER),5,7,6,8,8,8,6,0,0,0,0,0,0,0,0,0,2,0,0,2,1,
Great Britain (GBR),2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2
Hungary (HUN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Italy (ITA),6,3,6,5,2,8,4,2,0,0,1,1,0,3,1,0,1,0,0,0,0,0
Japan (JPN),3,2,0,1,4,2,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
Kazakhstan (KAZ),1,0,0,0,2,0,,,,,,,,,,,,,,,,
Latvia (LAT),2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein (LIE),0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,,,
Luxembourg (LUX),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Netherlands (NED),9,3,4,0,2,3,2,2,0,1,3,2,3,0,1,0,0,0,0,0,0,
New Zealand (NZL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
North Korea (PRK),0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,
Norway (NOR),10,6,9,7,5,5,5,2,4,6,1,5,2,6,0,1,6,3,3,3,5,6
Poland (POL),1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Romania (ROU),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Russia (RUS),9,7,8,4,3,4,,,,,,,,,,,,,,,,
Slovakia (SVK),0,1,0,0,0,0,,,,,,,,,,,,,,,,
Slovenia (SLO),4,1,0,1,0,3,0,,,,,,,,,,,,,,,
South Korea (KOR),2,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,
Soviet Union (URS),0,0,0,0,0,0,0,9,9,6,8,3,3,6,9,6,0,0,0,0,0,0
Spain (ESP),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,
Sweden (SWE),6,4,5,5,1,0,3,2,2,1,2,2,3,1,2,4,4,3,3,0,1,0
Switzerland (SUI),2,3,5,6,3,2,2,5,1,3,1,3,4,0,0,1,2,3,0,0,1,1
Ukraine (UKR),1,0,2,0,0,1,,,,,,,,,,,,,,,,
Unified Team (EUN),0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States (USA),12,13,7,11,4,2,2,3,0,2,4,3,1,4,3,2,1,2,3,2,2,1
United Team of Germany (EUA),0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0
Uzbekistan (UZB),0,0,0,0,0,0,,,,,,,,,,,,,,,,
West Germany (FRG),0,0,0,0,0,0,0,2,1,3,3,1,3,0,0,0,0,0,0,0,0,0
Yugoslavia (YUG),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,,,,,,,,,,,,,,,,
Australia (AUS),3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Austria (AUT),17,16,23,17,17,9,21,10,1,7,6,5,11,12,6,11,8,8,4,2,4,3
Belarus (BLR),6,3,1,1,2,2,,,,,,,,,,,,,,,,
Belgium (BEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1
Bulgaria (BUL),0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,
Canada (CAN),25,26,24,17,1,13,7,5,4,2,3,1,3,3,4,3,2,3,1,7,1,1
China (CHN),9,11,11,8,15,3,3,0,0,0,,,,,,,,,,,,
Croatia (CRO),1,3,3,4,8,0,0,,,,,,,,,,,,,,,
Czech Republic (CZE),8,6,4,3,3,0,,,,,,,,,,,,,,,,
Czechoslovakia (TCH),0,0,0,0,0,0,3,3,6,1,1,3,4,1,1,0,0,1,0,0,1,0
Denmark (DEN),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
East Germany (GDR),0,0,0,0,0,0,0,25,24,23,19,14,5,0,0,0,0,0,0,0,0,0
Estonia (EST),0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Finland (FIN),5,5,9,7,12,6,7,7,13,9,7,5,5,10,8,7,9,6,6,3,4,11
France (FRA),15,11,9,11,8,5,9,2,3,1,1,3,9,7,3,0,1,5,1,1,1,3
Germany (GER),19,30,29,36,29,24,26,0,0,0,0,0,0,0,0,0,7,0,6,2,1,
Great Britain (GBR),4,1,1,2,1,2,0,0,1,1,1,0,0,1,0,0,1,2,3,0,1,4
Hungary (HUN),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0
Italy (ITA),8,5,11,13,10,20,14,5,2,2,4,5,4,4,1,3,2,1,0,0,0,0
Japan (JPN),8,5,1,2,10,5,7,1,1,1,0,3,0,0,0,1,0,0,0,0,0,
Kazakhstan (KAZ),1,1,0,0,2,3,,,,,,,,,,,,,,,,
Latvia (LAT),4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein (LIE),0,0,0,0,0,0,0,1,2,4,2,0,0,0,0,0,0,0,0,,,
Luxembourg (LUX),0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Netherlands (NED),24,8,9,8,11,4,4,7,0,4,6,9,9,2,2,0,3,0,0,0,0,
New Zealand (NZL),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
North Korea (PRK),0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,
Norway (NOR),26,23,19,25,25,26,20,5,9,10,7,12,14,15,6,4,16,10,15,10,15,17
Poland (POL),6,6,2,2,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0
Romania (ROU),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Russia (RUS),29,15,22,13,18,23,,,,,,,,,,,,,,,,
Slovakia (SVK),1,3,1,0,0,0,,,,,,,,,,,,,,,,
Slovenia (SLO),8,3,0,1,0,3,0,,,,,,,,,,,,,,,
South Korea (KOR),8,14,11,4,6,6,4,0,0,0,0,0,0,0,0,0,0,0,,,,
Soviet Union (URS),0,0,0,0,0,0,0,29,25,22,27,16,13,25,21,16,0,0,0,0,0,0
Spain (ESP),0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,,
Sweden (SWE),15,11,14,7,3,3,4,6,8,4,2,4,8,7,7,10,4,10,7,3,5,2
Switzerland (SUI),11,9,14,11,7,9,3,15,5,5,5,10,6,0,2,6,2,10,3,1,1,3
Ukraine (UKR),2,0,2,0,1,2,,,,,,,,,,,,,,,,
Unified Team (EUN),0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States (USA),28,37,25,34,13,13,11,6,8,12,10,8,7,7,10,7,11,9,4,12,6,4
United Team of Germany (EUA),0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,2,0,0,0,0,0,0
Uzbekistan (UZB),0,0,0,0,0,1,,,,,,,,,,,,,,,,
West Germany (FRG),0,0,0,0,0,0,0,8,4,5,10,5,7,0,0,0,0,0,0,0,0,0
Yugoslavia (YUG),0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
